nppes_provider_city,counts,nppes_provider_zip5,total_claim_count,brand_claim_count,generic_claim_count,brand_drug_cost,generic_drug_cost,total_drug_cost,total_30_day_fill_count,total_day_supply,bene_count,brand_percent_spending,Index
BROADLANDS,5,100740.0,4362,597.0,3665.0,150168.34,61399.82,215529.99,7578.2,209275,741.0,0.7097870492421922,5471
LAFAYETTE HILL,25,486100.0,25296,4899.0,18543.0,1157398.06,473182.96,1819268.7000000002,38747.2,1078175,2672.0,0.7098071459215195,5472
FORT WAINWRIGHT,13,1296139.0,6219,814.0,4966.0,258296.68,105598.66999999998,392089.8,10326.3,281985,719.0,0.7098103342073484,5473
EAGLE LAKE,11,590869.0,40317,6558.0,33206.0,1892448.26,773624.9400000001,2683757.19,59427.09999999999,1658021,2281.0,0.7098260692917209,5474
DERIDDER,44,3107896.0,100510,13668.0,83785.0,3987902.7500000005,1630185.88,6204206.640000001,143346.5,3954970,5885.0,0.7098326517501024,5475
BARTONSVILLE,3,54963.0,7265,1159.0,5872.0,347232.62,141906.93000000002,494586.99999999994,11839.4,339954,429.0,0.7098845717955131,5476
CHESTERTOWN,55,1145085.0,147949,24494.0,120970.0,7844436.470000001,3205379.6300000018,11415735.930000003,242564.2,6742091,11451.0,0.7099155677351047,5477
LAKE LURE,4,114984.0,16298,2360.0,13838.0,685498.94,280032.99,969432.4399999998,25671.899999999998,726860,1170.0,0.7099702440705404,5478
SPENCER,176,7360055.0,427383,68213.0,348576.0,17320926.75,7074859.959999997,25083884.40999999,632047.3000000002,17316829,34805.0,0.7099966463840265,5479
POUND,2,48558.0,4481,866.0,3550.0,184694.41,75424.57,273458.25,5492.900000000001,158679,153.0,0.7100381909847563,5480
CUERO,28,2182712.0,99285,16807.0,80569.0,4242561.38,1732403.73,6324092.55,124868.40000000002,3303699,5557.0,0.7100562600607387,5481
FARRELL,51,822171.0,85274,11521.0,70625.0,3095151.800000001,1263855.2700000003,4663546.340000001,114814.1,3060431,6947.0,0.710058907979702,5482
GARNER,110,3234371.0,185992,26619.0,153437.0,8255566.100000001,3370818.559999999,12742865.750000006,311503.6,8792867,17776.0,0.7100716466403237,5483
GOOSE CREEK,51,1501695.0,79569,11361.0,65338.0,3954574.19,1614661.9400000002,6616982.2299999995,132858.9,3797983,6854.0,0.7100747926089461,5484
METHUEN,129,237837.0,174961,27323.0,142312.0,8691700.6,3548509.74,13305693.37,256373.80000000002,6836281,14954.0,0.7100940554588542,5485
