nppes_provider_city,counts,nppes_provider_zip5,total_claim_count,brand_claim_count,generic_claim_count,brand_drug_cost,generic_drug_cost,total_drug_cost,total_30_day_fill_count,total_day_supply,bene_count,brand_percent_spending,Index
MALAD CITY,8,666016.0,14700,14.0,12459.0,1102.67,261812.62,894412.62,23601.0,658694,1121.0,0.00419401245169119,0
KRONENWETTER,3,163365.0,6051,17.0,5169.0,620.55,114714.12,302153.76,7547.0,185789,649.0,0.00538042897248503,1
ASPERMONT,6,477012.0,8551,20.0,7188.0,1226.74,158571.1,348088.74,10712.1,288816,777.0,0.007676824667967977,2
BALCH SPRINGS,6,451060.0,688,11.0,480.0,124.9,10740.880000000001,27436.83,1002.7,23465,225.0,0.011494802950179371,3
WOOD VILLAGE,2,194120.0,3495,19.0,3247.0,1796.02,146818.11,335444.02,3518.6,85310,123.0,0.012085122726890104,4
ORANGE BEACH,6,219366.0,5131,21.0,4542.0,1548.63,88266.61,155662.84,6983.6,167474,708.0,0.017242396724653858,5
PRESHO,2,115136.0,1253,11.0,1088.0,505.14,26932.27,76026.01000000001,2295.6,63656,133.0,0.01841062986630298,6
HOLLADAY,20,1682367.0,13264,23.0,10903.0,4877.070000000001,239446.76000000004,558987.97,14380.299999999997,285179,1612.0,0.019961499457502772,7
GUALALA,8,763560.0,6109,43.0,5045.0,2144.84,101190.93000000001,346089.2900000001,11045.5,299281,998.0,0.020756026688531957,8
NEWTONVILLE,11,26762.0,2515,21.0,2074.0,1873.35,86329.39,167592.83,4630.7,130740,262.0,0.021239136108470096,9
ROSHARON,4,310332.0,3772,13.0,3091.0,894.1,37329.09,194317.66999999998,3799.8,92894,348.0,0.023391558893959403,10
LUZERNE,5,93545.0,1432,21.0,1137.0,2011.87,71606.66,372491.65,1662.1000000000001,45220,380.0,0.02732830986981131,11
WEST STOCKBRIDGE,4,5064.0,4667,12.0,4118.0,3383.55,108649.33,271867.99,4921.9,139499,282.0,0.03020140158853365,12
MORETOWN,1,5660.0,830,25.0,805.0,1967.49,59823.38,61790.87,1495.5,43866,60.0,0.03184111180179208,13
REGINA,2,128605.0,347,11.0,286.0,152.9,4295.58,9911.27,352.7,4617,213.0,0.03437129086789196,14
ST IGNATIUS,7,419055.0,5157,49.0,4255.0,5034.65,135163.4,335932.9000000001,7077.8,198872,326.0,0.03591098449657467,15
CLIFTON HEIGHTS,7,133126.0,4566,34.0,3543.0,4097.98,96316.65,255401.50000000006,7591.099999999999,205997,425.0,0.04081058706286126,16
WHITEMAN AFB,6,391830.0,1400,23.0,1010.0,1073.15,24743.72,184079.4,1783.8999999999999,47168,224.0,0.041567781067185915,17
ENDERLIN,2,116054.0,2712,12.0,2271.0,1987.29,44670.009999999995,113725.5,5259.8,151962,231.0,0.0425933348050573,18
MEADDOWBROOK,1,19046.0,942,38.0,904.0,615.39,13108.64,13724.03,1040.7,14261,231.0,0.044840327513128435,19
BARBURVILLE,1,40906.0,135,11.0,124.0,98.65,1963.81,2062.46,135.2,1087,98.0,0.04783123066629171,20
DOLORES,3,243969.0,6066,36.0,4821.0,6743.85,128669.76,389180.70999999996,7174.9,181474,531.0,0.04980186260450483,21
EAST ORLEANS,1,2643.0,193,16.0,177.0,66.61,1225.83,1292.44,200.1,2252,104.0,0.05153817585342454,22
N BELLMORE,3,35130.0,151,12.0,53.0,113.55,2080.56,8048.1,162.5,2567,77.0,0.0517521910934274,23
HAWTHORN WOODS,2,120094.0,4411,379.0,4032.0,7212.38,128694.48000000001,135906.86000000002,4704.6,130406,279.0,0.05306855003492833,24
BOYKINS,3,71481.0,951,32.0,630.0,877.78,15556.54,44489.28,961.7,16853,197.0,0.053411397611826956,25
SILVER LAKE,2,141862.0,562,14.0,456.0,496.88,8760.1,26908.519999999997,636.6,14321,92.0,0.05367625294642529,26
DETOIT,2,96403.0,341,33.0,296.0,452.41,7621.24,12082.33,359.9,5449,172.0,0.05603537433502815,27
STRAWBERRY POINT,3,156228.0,1357,11.0,1121.0,1520.45,25422.98,80662.95999999999,2713.8,76768,143.0,0.056431196770418614,28
WEST PALM BCH,4,133626.0,1677,14.0,1368.0,1689.77,27572.379999999997,136288.03,2416.0,63686,428.0,0.05774592775992195,29
WORCESTOR,3,4821.0,1496,20.0,1252.0,2130.72,33767.26,207475.03000000003,1958.5,50859,331.0,0.05935487177830061,30
COLONA,4,244964.0,1025,26.0,775.0,801.99,11900.169999999998,53922.700000000004,1470.8,32875,441.0,0.06313808045245849,31
LAKE HIAWATHA,5,35170.0,3839,26.0,3057.0,5056.36,73093.11,325327.63,8586.8,246527,384.0,0.06470114256692976,32
FORT LEONARD WOOD,17,1113041.0,1886,27.0,986.0,1090.47,14803.349999999999,57744.74,2361.8,44702,658.0,0.06860968602890936,33
WINSTON - SALEM,2,54209.0,917,12.0,737.0,1384.58,18522.64,94938.79,1102.9,27464,257.0,0.06955165010483633,34
WEATOGUE,9,54801.0,3444,31.0,3105.0,5428.07,71286.01,145220.21,5589.1,146416,690.0,0.0707571543581048,35
GETZVILLE,16,225088.0,20293,57.0,17770.0,15318.04,187434.22,499366.23000000004,20502.1,254247,872.0,0.07555052653913698,36
ST CLAIR,6,303472.0,1617,26.0,1371.0,4153.16,50041.090000000004,159947.19,2013.0,55206,216.0,0.07663469833054244,37
PAINSVILLE,1,44077.0,201,12.0,189.0,194.59,2338.04,2532.63,527.0,15457,29.0,0.07683317342051543,38
BELLVUE,2,178516.0,1114,17.0,919.0,1499.36,17933.25,65404.969999999994,1216.6,33206,155.0,0.07715690275264105,39
CHUGIAK,4,398268.0,1603,54.0,1181.0,1979.25,23548.72,84121.69999999998,2201.5,49899,314.0,0.07753260443349001,40
N MASSAPEQUA,6,70548.0,3412,38.0,2434.0,8398.48,99140.33,274374.65,5850.3,161843,569.0,0.07809720044326322,41
FELTON,6,570108.0,3173,29.0,2775.0,3873.6000000000004,44319.88,137338.83,5117.3,149280,246.0,0.08037601766878011,42
MCVILLE,3,174762.0,5807,252.0,4916.0,8316.34,93131.75,239942.69,8349.4,212574,370.0,0.08197630926319066,43
MILLIS,11,22594.0,10800,82.0,9208.0,16643.34,184930.13999999998,483765.38,20138.9,580229,1111.0,0.08256711150693039,44
MCCLELLAN PARK,1,95652.0,61,14.0,47.0,82.98,907.24,990.22,142.0,4260,0.0,0.08379955969380543,45
MARY ESTHER,6,195414.0,2767,35.0,2421.0,7342.860000000001,79013.66,151698.46,3690.3,96177,535.0,0.08502959591238739,46
BLYTHEWOOD,9,261144.0,4980,50.0,3946.0,9152.1,98027.63,352226.43,6133.0,161628,608.0,0.08539021324274655,47
ALBUQURQUE,3,261368.0,485,17.0,383.0,1273.62,13593.54,92532.57999999999,564.0,13551,134.0,0.08566666397617298,48
NORTHVALE,9,68823.0,3758,36.0,2874.0,8944.54,92284.47,258301.53,6692.799999999999,179905,753.0,0.08835945348077591,49
FARR WEST,11,928444.0,6116,43.0,4854.0,15561.57,157509.87,592347.03,9340.0,255976,776.0,0.08991414181334598,50
CENTURY CITY,5,450335.0,2266,57.0,1675.0,6454.44,63184.3,230744.15999999997,3024.3999999999996,83452,257.0,0.09268461778601966,51
WAYNE CITY,2,125790.0,1681,39.0,1379.0,1869.98,17957.51,80862.71,2463.5,64342,288.0,0.09431249240322402,52
FRIANT,2,187252.0,623,17.0,527.0,1036.26,9796.6,31466.3,822.7,23040,110.0,0.09565894879099332,53
ST CLODU,1,56303.0,206,16.0,190.0,202.42,1851.01,2053.43,219.1,5207,51.0,0.09857652805306244,54
WAPATO,4,395804.0,2095,20.0,1714.0,3256.99,29633.8,107175.29999999999,3195.2,88618,234.0,0.09902437734089085,55
FRUITLAND PARK,7,243117.0,2222,28.0,1898.0,4307.92,37731.97,107394.66999999998,2567.6,61859,698.0,0.10247219961802945,56
GREECE,3,43878.0,594,13.0,438.0,613.12,5360.3,9957.43,594.6999999999999,5588,423.0,0.10264136792658142,57
ELM GROVE,15,796830.0,2121,58.0,1570.0,3668.35,31746.3,80566.56000000001,3495.3999999999996,86919,650.0,0.10358283930520279,58
ROCKVILLE CTR,4,46280.0,1745,34.0,1407.0,7449.42,62506.97,164180.95,3719.4,107631,367.0,0.10648662688283372,59
WONEWOC,2,107936.0,3470,49.0,2690.0,12010.64,100296.48,524772.9,3590.3,84864,144.0,0.10694459977248102,60
LAKE ELMO,15,825630.0,2956,44.0,1923.0,4873.12,39722.15,190391.85000000006,4386.900000000001,114275,885.0,0.10927436923243204,61
KINGSTON SPRINGS,1,37082.0,382,19.0,363.0,376.65,3044.54,3421.19,382.3,3070,228.0,0.11009327163940032,62
LANGLEY AFB,9,212985.0,1649,29.0,1263.0,3585.08,28214.559999999998,70520.47,2596.8999999999996,65924,617.0,0.11273964107769774,63
HERNANDO BEACH,2,69214.0,638,14.0,565.0,1543.88,11840.470000000001,26002.1,1151.2,31831,132.0,0.11534964342683805,64
CHALLIS,6,499356.0,3452,17.0,2864.0,6744.51,50163.41,208848.25,5917.7,164008,582.0,0.11851619247373651,65
MCCONNELL AFB,11,739431.0,1220,27.0,790.0,849.42,6264.71,15647.550000000001,1260.6000000000001,11902,774.0,0.11939899889375089,66
ST.LOUIS,3,190366.0,719,22.0,629.0,2732.48,20031.31,47325.54,867.3,20906,263.0,0.12003625055405975,67
MUNICE,2,94606.0,525,18.0,444.0,815.39,5871.8099999999995,32002.12,733.0,17577,142.0,0.12193294652470392,68
BARLOW,2,84048.0,2492,13.0,2055.0,5643.0,40361.48,132993.19,3073.3,82335,308.0,0.12266196683453437,69
PIERMONT,4,43872.0,735,11.0,451.0,4042.45,28827.78,72558.52,980.8,26557,147.0,0.12298210265033133,70
CENTERPORT,4,46884.0,1664,18.0,1265.0,5519.25,39271.91999999999,140558.37,3139.5,84628,221.0,0.12322183144579615,71
AUBURN UNIVERSITY,3,110547.0,442,30.0,377.0,1492.74,10607.0,13577.34,749.2,20811,76.0,0.12336959306563612,72
BROOKSVILL,1,34613.0,184,11.0,173.0,377.36,2675.11,3052.47,427.5,12529,45.0,0.12362447460581102,73
WENONA,3,184131.0,1883,13.0,1575.0,6026.31,42623.36,130361.10999999999,4206.0,121832,148.0,0.12387154938563819,74
UPPER MONTCLAIR,10,70430.0,4656,87.0,3429.0,13781.52,96721.49,277857.03,9071.699999999999,257102,502.0,0.1247162407612245,75
DIKE,1,50624.0,205,12.0,193.0,263.46,1833.84,2097.3,205.0,1451,150.0,0.1256186525532828,76
LOST HILLS,4,372996.0,1368,18.0,1114.0,2490.21,17005.9,79255.7,2138.7,57353,353.0,0.12772855713267928,77
FAIRFIELD BAY,3,216264.0,1643,60.0,1418.0,3802.92,25397.98,55149.53999999999,2628.8,64017,539.0,0.1302329722714026,78
WINSTON- SALEM,1,27114.0,549,31.0,518.0,1186.2,7813.69,8999.89,555.1,5916,338.0,0.13180161090857778,79
CAROILINA,1,983.0,191,13.0,178.0,318.58,2075.1,2393.68,199.0,4006,109.0,0.13309214264229138,80
E GREENWICH,6,16908.0,5825,101.0,5130.0,16049.13,104063.53,270565.33999999997,8773.9,247666,684.0,0.13361730561957413,81
JORDAN,5,297912.0,2592,56.0,2201.0,6133.74,39187.119999999995,158596.00999999998,3873.6,95677,646.0,0.1353403267281336,82
SAN JUAN BAUTISTA,2,190090.0,195,15.0,162.0,2165.97,13584.97,20542.66,241.0,5448,69.0,0.13751369759519114,83
SULLIVANS ISLAND,5,147410.0,10098,237.0,8180.0,44241.76,270593.18,702737.13,18025.5,515334,983.0,0.14052366614709283,84
SCOBEY,6,355578.0,8362,95.0,6921.0,17580.74,107147.79999999999,387114.24000000005,11560.600000000002,325769,686.0,0.14095202268863247,85
FOX POINT,9,478953.0,1258,17.0,955.0,5069.62,30727.719999999998,102943.11,1769.3,47776,216.0,0.14162001981152791,86
LOS MOLINOS,2,192110.0,993,18.0,975.0,3667.64,22223.079999999998,25890.719999999998,2455.1,71993,336.0,0.14165847840461757,87
THIELLS,4,43936.0,2508,218.0,2056.0,8932.7,54118.61,101438.68,2599.3,72636,105.0,0.14167350369088288,88
ST. CLAIRSVILLE,4,175800.0,1538,11.0,1175.0,6410.33,38129.170000000006,104373.34,2279.4,59380,401.0,0.14392460624838624,89
POCONO SUMMIT,4,73384.0,2432,217.0,2203.0,8717.57,51431.810000000005,60294.91000000001,2508.2000000000003,59394,240.0,0.1449320009616059,90
BELIEVUE,1,98006.0,176,14.0,162.0,1217.47,7159.64,8377.11,207.2,5091,20.0,0.14533293701527136,91
GERRY,3,44220.0,20760,305.0,17864.0,46743.03,271622.21,722798.86,20770.0,288188,591.0,0.14682202742987896,92
WAITSFIELD,8,45384.0,6676,102.0,5536.0,27941.95,162168.8,475269.23999999993,12631.7,350299,1140.0,0.1469772224874185,93
HANCEVILLE,6,210462.0,1222,11.0,820.0,1311.42,7515.289999999999,24688.059999999998,1348.9,21017,493.0,0.1485740440096027,94
SESSER,6,377304.0,3384,122.0,2430.0,12622.779999999999,72133.57,655469.2000000001,4304.1,103809,507.0,0.14893019815034506,95
RAIFORD,2,64052.0,2731,50.0,2379.0,7150.22,40557.13,96592.44,4179.1,107238,471.0,0.14987669614849705,96
N ANDOVER,13,23985.0,5190,110.0,3814.0,22236.33,125579.88999999998,1055378.38,6627.4,168202,1405.0,0.15043227326473377,97
CHATTAROY,2,198006.0,141,21.0,120.0,1583.77,8931.18,10514.95,162.0,4188,0.0,0.15062078279021773,98
SEVERN,4,84576.0,565,23.0,412.0,1079.87,6051.41,21040.899999999998,622.5,9909,185.0,0.15142723325966725,99
SPRING CREEK,2,179630.0,249,15.0,213.0,263.63,1452.67,1802.23,249.0,1777,136.0,0.15360368233991725,100
RALTIMOF,1,21208.0,30,17.0,13.0,42.09,231.71,273.8,30.2,736,0.0,0.15372534696859022,101
MONTOMERY,1,36106.0,218,28.0,190.0,850.11,4663.38,5513.49,219.3,3580,143.0,0.1541872752104384,102
CHOTEAU,7,415954.0,9826,170.0,8100.0,23249.41,126655.82999999999,420279.72,13070.699999999999,358286,812.0,0.15509404474453328,103
MANORVILLE,11,131439.0,8219,218.0,6889.0,30782.76,167572.38,483918.04,14603.900000000001,379357,2534.0,0.1551901301877027,104
ST. LOUID,1,63104.0,1212,29.0,1183.0,6427.89,34941.22,41369.11,1274.7,37870,110.0,0.15537897721270774,105
MISSISSIPPI STATE,4,159048.0,4179,98.0,3546.0,14017.73,74843.0,172633.79,7629.6,217241,277.0,0.1577494355493141,106
STEAMBOAT SPGS,4,321948.0,1891,94.0,1432.0,8418.5,44938.979999999996,126232.17000000001,3311.9,93829,285.0,0.1577754421685582,107
CHAPMANSBORO,1,37035.0,223,19.0,204.0,1362.58,7141.07,8503.65,225.0,5623,0.0,0.16023472273670716,108
GOLDEN MEADOW,1,70357.0,382,20.0,362.0,906.7,4748.04,5654.74,402.0,6346,160.0,0.1603433579616393,109
PALOS VERDES PENINSULA,2,180548.0,299,12.0,218.0,1691.31,8837.08,11663.98,306.4,5723,124.0,0.16064279533717882,110
FORT WHITE,1,32038.0,282,16.0,266.0,698.62,3616.81,4315.43,282.0,2384,165.0,0.16188885001031184,111
ROCKY FACE,1,30740.0,1877,129.0,1748.0,15245.24,77715.17,92960.41,2246.2,65701,46.0,0.16399712522782547,112
LANDENBERG,5,96750.0,376,39.0,272.0,3628.49,18457.74,23537.989999999998,406.5,5816,191.0,0.16428743158067263,113
PONCE INLET,1,32127.0,454,16.0,438.0,3671.0,18574.23,22245.23,491.1,9287,193.0,0.165024142254317,114
TAHOE CITY,7,673015.0,1553,23.0,1189.0,4058.33,20514.91,95368.29000000001,2444.2999999999997,66684,287.0,0.165152417833383,115
WHITELAND,7,323288.0,9274,143.0,7321.0,47541.83,238338.55,783429.4299999999,11904.7,324765,1186.0,0.1662997299779719,116
OTTUMA,1,52501.0,85,13.0,72.0,865.37,4290.69,5156.06,115.7,2777,22.0,0.1678355178178687,117
W. COVINA,1,91790.0,171,28.0,143.0,1365.75,6687.13,8052.88,234.8,6406,47.0,0.16959770914256764,118
SHAW AFB,5,145760.0,2276,30.0,1887.0,6037.81,29500.059999999998,102097.59999999999,3025.5,84042,377.0,0.1698979145345515,119
GARDEN CITY PARK,4,44160.0,1868,21.0,1329.0,4568.36,22215.059999999998,103989.85999999999,2269.7,62032,435.0,0.1705667162744713,120
POTLATCH,2,167710.0,2201,91.0,1899.0,6360.35,30906.62,86954.84,3387.2,86361,546.0,0.17066989884071607,121
FAIRCHILD AFB,9,891099.0,2111,47.0,1580.0,6087.3,29522.04,106958.85000000002,3718.8999999999996,99396,790.0,0.170946723528153,122
STINSON BEACH,3,284910.0,2669,66.0,2074.0,16159.289999999999,77608.45,258767.84,4588.6,131992,277.0,0.17233314997247454,123
ALLOUEZ,1,54301.0,241,25.0,216.0,2432.66,11556.56,13989.22,268.7,6104,97.0,0.17389532797396853,124
HEPHZIBAH,7,215705.0,2617,11.0,2087.0,6409.71,30279.22,66985.40999999999,3079.7,78641,295.0,0.1747041955161952,125
BEVERLY FARMS,1,1915.0,2777,103.0,2674.0,19303.85,90318.28,109622.13,3189.5,91965,157.0,0.17609446194851347,126
ROBINS AFB,17,528666.0,2554,56.0,2076.0,4913.8,22890.909999999996,96441.60000000002,3050.7,60613,969.0,0.17672545406875315,127
JOSHUA TREE,11,1014772.0,3805,205.0,2880.0,11523.46,53440.7,163834.19999999998,5704.900000000001,120963,1609.0,0.17738180559865624,128
CLIFTON FORGE,6,146532.0,5786,136.0,4715.0,18974.88,87536.8,225202.15,9699.800000000001,266112,784.0,0.1781483495518989,129
AVON BY THE SEA,5,38585.0,617,13.0,546.0,1265.35,5779.61,15491.78,666.8,8839,336.0,0.17961067202652678,130
MIDDLEBOROUGH,1,2346.0,444,12.0,432.0,1860.94,8441.79,10302.73,551.8,14653,173.0,0.18062591177289902,131
GREYSTONE PARK,5,41550.0,922,65.0,795.0,5209.15,23550.72,34615.64,1111.0,22945,86.0,0.18112564486557134,132
W AMHERST,2,28456.0,44,11.0,17.0,229.14,1022.03,2631.73,50.0,1231,0.0,0.18314058041672993,133
SAN PEDRO GARZA GARCIA,1,66220.0,189,18.0,171.0,1939.27,8632.97,10572.24,190.0,5432,28.0,0.18343037993840472,134
PT. ARTHUR,1,77640.0,184,12.0,172.0,434.14,1930.45,2364.59,190.5,1864,70.0,0.1836005396284345,135
WACCABUC,3,31791.0,1283,31.0,1081.0,7205.7,31978.39,64615.35,1914.6999999999998,53854,245.0,0.18389351392363584,136
COCHRANVILLE,1,19330.0,108,15.0,79.0,839.21,3671.44,4922.63,134.0,3828,15.0,0.18605079090596702,137
INA,1,62846.0,57,12.0,45.0,244.33,1065.61,1309.94,118.0,3454,0.0,0.1865199932821351,138
GREENBANK,1,98253.0,140,17.0,123.0,821.43,3496.72,4318.15,269.0,7344,26.0,0.19022729641165778,139
LA CONNER,11,1080827.0,1082,44.0,866.0,3009.74,12684.820000000002,30159.809999999998,1289.8,26073,287.0,0.19176963228022956,140
PAULSBORO,6,48396.0,4918,120.0,4132.0,30487.809999999998,127840.70000000001,326096.88,7042.000000000001,195926,472.0,0.19256045547324355,141
STATELINE,20,1788980.0,20008,291.0,16597.0,120704.97000000002,498618.36,1959450.8099999998,31030.3,865296,2397.0,0.1948981479512487,142
MIA,1,33135.0,7325,269.0,7043.0,54932.83,226484.7,281430.94,7723.8,221692,411.0,0.1952004553518752,143
TETERBORO,4,30432.0,92,11.0,49.0,876.3,3541.93,6016.78,113.0,2733,17.0,0.1983373432347343,144
COLUMBUS AFB,2,79420.0,705,37.0,552.0,1949.03,7852.550000000001,39095.29,1018.7,23937,229.0,0.1988485529883957,145
"SAN JUAN, PR",1,926.0,848,20.0,828.0,4375.58,17594.81,21970.39,897.7,18827,158.0,0.19915804862817638,146
DISCOVERY BAY,2,189010.0,361,15.0,346.0,825.09,3287.98,4113.07,363.0,3082,232.0,0.20060198343329924,147
SELLING,1,73663.0,354,33.0,321.0,1397.63,5515.83,6913.46,384.9,4909,206.0,0.20216071258096527,148
EVERETTE,2,100350.0,2734,43.0,2384.0,10737.62,42278.14,104727.47,5279.099999999999,155843,326.0,0.20253637786197917,149
PORT MONMOUTH,3,23274.0,837,26.0,702.0,2933.83,11490.86,26750.16,956.0999999999999,16255,488.0,0.2033894662554273,150
WILLOW,6,598128.0,2001,13.0,1545.0,7666.7,29410.7,124623.56999999999,3101.0,77126,275.0,0.20677555599907219,151
BEL AIRE,4,268904.0,2102,29.0,1674.0,12844.25,48834.1,151295.91999999998,2910.6,82534,115.0,0.20824568102097413,152
WIMINGTON,1,19805.0,490,24.0,466.0,1243.24,4726.01,5969.25,491.8,3237,310.0,0.20827407128198686,153
BELLEAIR BEACH,2,67572.0,1120,42.0,1039.0,5064.76,19142.86,24788.559999999998,1152.5,28046,175.0,0.20922172439917677,154
TRABUCO CANYON,8,741432.0,1892,80.0,1421.0,7652.26,28655.579999999998,160469.65,3508.2999999999997,89941,500.0,0.21076054097407065,155
EAST NORRISTOWN,2,38806.0,1857,33.0,1372.0,11065.87,41367.59,245683.19,3047.3,81591,647.0,0.21104596187243796,156
DARDENNE PRAIRIE,10,633680.0,5040,191.0,4064.0,24644.36,91805.22,245751.41,8766.7,239088,805.0,0.2116311626027333,157
CONDADO,2,1814.0,1207,19.0,981.0,5308.44,19588.39,98750.94,1324.2,38010,203.0,0.2132175060037764,158
SUPRISE,1,85374.0,71,13.0,58.0,1021.58,3753.9,4775.48,98.1,2184,34.0,0.21392195130123043,159
BORON,2,187032.0,293,27.0,266.0,562.58,2066.21,2628.79,293.0,2009,229.0,0.2140072048356849,160
HARLOWTON,4,236144.0,4392,189.0,3778.0,22830.9,83244.68000000001,168838.47999999998,6618.099999999999,181975,494.0,0.21523238430560548,161
CHURCHVILLE,13,250040.0,2289,125.0,1730.0,6673.860000000001,24113.11,61279.369999999995,2339.8,34171,1235.0,0.21677547352012883,162
WESTHAMPTON,1,11977.0,1128,98.0,1030.0,9192.37,32750.2,41942.57,1447.3,40124,78.0,0.21916563529607272,163
MASTIC BEACH,3,35853.0,551,18.0,448.0,1905.85,6786.400000000001,13392.31,639.4,12425,238.0,0.21925853490178032,164
OAKLAND TWP,1,48306.0,145,15.0,130.0,301.3,1049.82,1351.12,145.4,1194,115.0,0.22300017763041036,165
MURFRESSBORO,1,37130.0,626,32.0,594.0,1702.84,5896.5,7599.34,626.0,3891,392.0,0.22407735408601273,166
PEQUANNOCK,4,29760.0,658,29.0,469.0,5325.54,18370.83,45520.229999999996,696.0,15180,192.0,0.22474075143154834,167
GRAND LAKE,2,160894.0,367,11.0,281.0,1647.91,5644.15,17191.54,458.7,12124,42.0,0.2259868953354745,168
GREEN VILLAGE,2,15870.0,100,13.0,75.0,406.96,1390.4,1879.1,133.7,3519,26.0,0.22642097298259667,169
LOGANTON,1,17747.0,57,11.0,46.0,234.36,795.41,1029.77,116.8,3316,0.0,0.2275848004894297,170
NICHOLS HILLS,3,219348.0,134,26.0,108.0,1067.33,3598.84,4666.17,177.0,3509,39.0,0.2287379156781686,171
LOS ALTOS HILLS,7,658156.0,453,14.0,210.0,537.91,1811.32,20511.739999999998,726.7,15720,271.0,0.22897289750258593,172
SEEKONK,18,49878.0,1780,33.0,631.0,1714.76,5760.96,18841.769999999997,1809.2000000000003,15122,1149.0,0.22937723724270037,173
HIGLEY,9,767124.0,983,27.0,483.0,1581.7,5249.48,14588.1,1007.4,9992,642.0,0.2315412564154363,174
GRACEWOOD,5,154060.0,2124,27.0,1893.0,13040.89,43228.81,101659.88,2127.0,53474,212.0,0.23175687803560352,175
VINE GROVE,7,281225.0,453,21.0,321.0,776.01,2565.3500000000004,4588.76,455.7,4458,269.0,0.23224375703306432,176
RIDGELEY,2,53506.0,233,26.0,207.0,915.73,2993.79,3909.52,235.0,2357,122.0,0.2342308007121079,177
PUEBLO OF ACOMA,3,261102.0,2189,47.0,1931.0,8485.81,27648.64,61202.48999999999,3209.7999999999997,87321,579.0,0.2348398827158017,178
FALCONER,4,58949.0,314,24.0,176.0,272.28,878.7,1949.74,326.0,3683,175.0,0.2365636240421206,179
FT MONMOUTH,1,7703.0,834,72.0,762.0,12623.67,40044.54,52668.21,931.7,21457,302.0,0.23968291308931897,180
HARLINGENT,1,78550.0,650,16.0,634.0,12977.45,41153.93,54131.38,782.0,22931,156.0,0.23973986992387777,181
PESHAWBESTOWN,3,149046.0,922,12.0,771.0,6299.81,19939.850000000002,54504.35,1435.7,40050,134.0,0.24008733344868033,182
ROCKVILLE CTRE,1,11570.0,679,36.0,643.0,5259.64,16564.87,21824.51,790.0,20255,179.0,0.240996934180882,183
KING COVE,2,199224.0,1068,25.0,857.0,4604.22,14317.220000000001,67346.33,1908.1,51847,191.0,0.24333348836029392,184
BROOK PARK,1,44142.0,467,26.0,441.0,1925.87,5958.63,7884.5,478.8,8187,215.0,0.24426025746718244,185
BLOOMFIELD TOWNSHIP,7,338111.0,4928,284.0,4130.0,69850.02,216069.63,1126774.99,9218.300000000001,260600,1089.0,0.2442994736458302,186
HERRIMAN,8,672737.0,2608,55.0,2194.0,19333.510000000002,59759.100000000006,140602.53,4868.6,131857,535.0,0.24444142126552657,187
ARMONK,25,262600.0,12726,269.0,10151.0,83985.6,259543.06999999995,739743.5,21192.6,595400,1386.0,0.2444791580277711,188
GLENWOOD CITY,3,162039.0,198,13.0,185.0,751.88,2304.9500000000003,3056.8300000000004,200.0,1812,150.0,0.2459672274872989,189
MCKEES ROCKS,6,90816.0,7873,164.0,6184.0,37274.549999999996,113848.93,480513.86999999994,14292.7,421104,788.0,0.2466496271790459,190
LAWNSIDE,2,16090.0,347,13.0,334.0,4838.81,14765.119999999999,19603.93,394.0,11402,20.0,0.24682856957763064,191
ALAPAHA,1,31622.0,118,13.0,105.0,401.57,1218.39,1619.96,118.0,843,78.0,0.2478888367614015,192
HUNTSBURG,2,88092.0,295,20.0,263.0,974.05,2905.35,5299.71,299.7,5085,188.0,0.25108264164561533,193
MOUNT HOLLY SPRINGS,3,51195.0,2905,108.0,2758.0,49098.82,145291.71,194610.3,3145.6,91431,222.0,0.25257825059687833,194
EAST WALPOLE,4,8128.0,221,15.0,89.0,371.94,1089.22,3399.78,236.0,4527,79.0,0.25455117851569986,195
MENARD,2,139118.0,260,44.0,201.0,727.31,2116.01,2917.69,290.0,5333,26.0,0.2557960412475556,196
LAKE NEBAGAMON,4,219396.0,458,25.0,346.0,1274.17,3706.4500000000003,9573.5,470.1,4749,295.0,0.25582557994787797,197
TIERRA VERDE,5,168575.0,501,21.0,234.0,2490.65,7243.5,14620.470000000001,595.5,10492,199.0,0.2558672303180042,198
WINNECONNE,4,219944.0,737,45.0,487.0,1683.97,4820.61,8476.83,756.9,6881,466.0,0.25888988989296774,199
PAINTER,2,46840.0,130,12.0,118.0,739.2,2101.23,2840.4300000000003,130.0,2471,39.0,0.2602422872593234,200
GATES,3,80598.0,396,27.0,314.0,985.91,2796.33,7455.52,427.2,7492,170.0,0.2606682812301705,201
ARNOLD AIR FORCE BASE,2,74778.0,459,38.0,400.0,3267.27,9149.59,12992.01,1102.3,32630,61.0,0.2631317418413351,202
ISLESBORO,5,24240.0,1195,19.0,948.0,9894.83,27594.550000000003,62857.05000000001,2378.0,62709,329.0,0.2639368802578223,203
PERKINS,4,296236.0,1625,104.0,1263.0,9207.720000000001,25624.8,85727.43,2690.8,74265,161.0,0.26434263154087045,204
WADDY,1,40076.0,1207,25.0,1182.0,16353.48,45391.74,61745.22,1915.8,56350,145.0,0.26485418628356977,205
THROOP,2,37024.0,763,24.0,648.0,6670.15,18451.91,25675.34,1291.8,35620,214.0,0.2655096755600456,206
FRENCHTOWN,5,197152.0,1507,28.0,1276.0,7034.66,19457.77,60506.38,2106.7,57417,136.0,0.2655347206730375,207
